id,producto,precio,cantidad_vendida,calificación,costo_envío,stock
1,Cámara digital,950000,1176,3.04,8890,34
2,camara digital,940000,1509,4.94,13838,205
3,Camara Digital,960000,910,4.66,19502,80
4,Cámara Digital HD,1200000,1344,3.42,26777,419
5,camara digítal,930000,1180,3.36,15627,49
6,Teléfono móvil,1500000,1145,3.37,13792,359
7,telefono movil,1480000,1774,3.61,15555,387
8,Teléfono Movil,1490000,1094,4.05,15253,1
9,Teléfono inteligente,1750000,1688,3.86,13433,389
10,Movil teléfono,1470000,171,3.58,15233,53
11,Portátil HP,2800000,516,4.22,16016,105
12,portatil hp,2750000,1288,3.28,28897,259
13,Laptop HP,3000000,380,3.58,7612,309
14,HP Portatil,2700000,1532,3.73,28425,476
15,computador portatil HP,2900000,137,3.91,27619,190
16,Audífonos inalámbricos,180000,1446,4.57,26870,401
17,audifonos inalambricos,175000,1173,3.4,28483,217
18,Audifonos bluetooh,160000,921,4.03,20787,43
19,Audífonos Bluetooth,200000,1737,4.18,22159,161
20,Auriculares bluetooth,155000,180,3.09,17206,201
