id,source,content,type
1,https://www.facebook.com/RadioDelSur101.1/posts/pfbid02PgPL4uuwmBSryGYvYufadoMUveEw1EKDQLFnfn7Ah3oPrimsqaEGLXShAtMFLyHzl,FUERTE DISCURSO DE LA VICEPRESIDENTA,Política
2,https://www.facebook.com/canal13sanjuantv/posts/pfbid024jqkSH2yHoo5eStgHipdthvJYaoE22QuCrMAn9PGS2Li5WJfmfms2SKNsExrJKx3l,La mendocina no dudó en elegir la música de Jimena Barón y su nuevo disco Mala Sangre. #canal13 #sanjuan ⬇️,Entretenimiento
3,https://www.facebook.com/tiempodesanjuanweb/posts/pfbid02YaBh47XWT7Sdxbi7opvP9W4M6XG5WdSxJaYXYPKk3imShRxq53ZgYgM5jgYAnLo7l,"Desaparición de Cecilia Strzyzowsi: el ex abogado de César Sena afirmó que ""la mataron""
El ex abogado de la familia Sena, que renunció por ""diferencias irreconciliables"", realizó lapidarias declaraciones sobre el femicidio de Cecilia Strzyzowsi.",Seguridad
4,https://www.facebook.com/tiempodesanjuanweb/posts/pfbid023DvjH8UPxQzLywodqkeytN1i1sBd3tHcCrQRszHzjigpX1N84yyr9jgK5tmUafcBl,"Cristina Kirchner y un palo al albertismo: ""Amenazan con el partido judicial""
En un discurso sin defunciones en cuanto a candidaturas, sin mencionarlo Cristina Kirchner criticó a Aníbal Fernández que había amenazado con judicializar la PASO de Unión por la Patria por los cupos electorales.",Política
5,https://www.facebook.com/DiarioMovilOK/posts/pfbid02Kx3JjRnQfGQcmbhH4Pxui3Y7TrJnLYYacy9yPCdNBVzdSGRpoBxX4bJh7NjfG9PZl,"TERROR EN UNA RADIO SANJUANINA ❗️😱❗️
Oyentes de la emisora ""La 1020"" experimentaron una situación escalofriante durante un programa en vivo. En un momento impactante, sanjuaninos escuchar la voz de un niño diciendo: ""Ayúdenme"". Se trataría de una psicofonía. ¿VOS QUÉ CREÉS?",Notas de interés
7,https://www.facebook.com/DiarioHuarpe/posts/pfbid0NhGdmNj5VjXXHivHABi2jgh45z1QHeENzHXeXPmEQYy67YLrQskTrTSYFBwvR5Dal,"La víctima se desempeña como modelo de contenido erótico, mientras que el abusador era un asistente técnico.",Seguridad
8,https://www.facebook.com/LaPoliticaSJ/posts/pfbid02dzvpJCfz1iqeS5QqEQ8ArbkNHhHR7jzUbZh8yijNpwSSYSQWZhz35ZErSL6oTf1Rl,"Patricia Quiroga contó cómo trabajarán en estos primeros días en el gremio. ""Hay que buscar a los afiliados que se fueron y los que nunca se afiliaron. A esto lo sacamos entre todos"", dijo.",Economía
9,https://www.facebook.com/canal13sanjuantv/posts/pfbid0r55LvjBHDjHiVGNyPW1msMYcgcUMVfzCLYa7GStgAHCvBQgPYpvsDveXKMPpsAdel,El futbolista se sumará a una serie protagonizada y dirigida por Adrián Suar. #canal13 #sanjuan ⬇️,Deportes
10,https://www.facebook.com/RadioDelSur101.1/posts/pfbid02rL34uGgEyb7JtdYUMAqYTRGjzYipkZvzYzQ3NYpegGT14zMDudUzsRm26Z56yxeil,"GRATA NOTICIA 👲👲👏👏👏

Este viernes el Papa Francisco recibe el alta y vuelve al Vaticano",Religión
11,https://www.facebook.com/diariodecuyoweb/posts/pfbid08pB1jJpXZ5jembpyDDd7RUiGoAQq7UdgrYF1jFyVZYz6vGHDTMC7NcUon9KbZufkl,"[ACTO EN SANTA CRUZ]
La Vicepresidenta lanzó duras críticas al sector que representa Alberto Fernández por el cierre de alianzas: “Cuando uno tiene responsabilidad de Gobierno, la responsabilidad es que haya la menor conflictividad posible”.",Política
12,https://www.facebook.com/DiarioMovilOK/posts/pfbid02tKoJg6hM3fmQZmHz9EGcp5KJcRWuwJdRTLXSgeaMovHPijp6Gyagv8wNWnyR91Eul,"DURÍSIMO CON ALBERTO Y CRISTINA 🇦🇷😮🇦🇷
El reconocido periodista Eduardo Feinmann habló de la interna presidencial de cara a las elecciones 2023 y dijo: ""Cristina Kirchner se quiere vengar del inútil de Alberto Fernández, y él, de la desquiciada de Cristina Kirchner"". ¿BANCÁS SUS PALABRAS?",Política
13,https://www.facebook.com/diariodecuyoweb/posts/pfbid0ZfRFAgRBQdC7C3bVa8jW2WLAJbbaS38dMYp8JA6y8TwLRUfbZii2zNuuFoqJpbRyl,"SAN JUAN 
Luego de finalizar una transmisión, el abusador se abalanzó sobre la víctima con el torso desnudo.",Seguridad
14,https://www.facebook.com/telesoldiario/posts/pfbid02YivRgKuUisurxqaWT4UJ2YKerqeNRNcMs4dQHAgHS8E8dMNWrjpK7D4U7csbBjcCl,"DIFERENCIAS EN EL OFICIALISMO

La Vicepresidenta apuntó contra el Presidente y dijo que tiene ""la responsabilidad"" de ""gobernar y que haya la menor conflictividad posible"".",Política
16,https://www.facebook.com/RadioDelSur101.1/posts/pfbid022rQvJSRtuU8tf4xQBTRkHh5gWG4Ca559VGzXKVeobu18vrbo4cGVYZCNUTBzszPSl,"ACCIDENTE GRAVE 🚌🚌🚓😮😮

Un colectivero se descompensó y atropelló a 9 personas",Enfermedades y siniestros
18,https://www.facebook.com/diariodecuyoweb/posts/pfbid0ggE67cofavbvG1D92y7CkKH4515ZLHsfakM9qzdgQg7aPpfdzhbMyzJHfYEuVDddl,"[LIGA NACIONAL]
El base sanjuanino aportó siete puntos en la derrota por 73-64.",Deportes
19,https://www.facebook.com/tiempodesanjuanweb/posts/pfbid02bKCGRCRNA5PcGsApwWmD9YSGz47ZgndQpLxEbHg6rKtaTGvFJcHDMxLuUdPAiptil,"Entre llantos, denuncias y acusaciones tremendas se terminó la pareja entre las dos figuras más polémicas del último ""Gran Hermano"".",Entretenimiento
20,https://www.facebook.com/LaPoliticaSJ/posts/pfbid02JNQvZPZVm4JCSEjrWcLo4ksGkLZkUz4VqY8AuoCdUaCw48cJhmhftrVFhRqzLbtDl,"Este jueves, con la presencia del gobernador Uñac, entregaron esa cantidad de casas del barrio Balcón de Ansilta.",Gestión de gobierno
21,https://www.facebook.com/DiarioHuarpe/posts/pfbid035J4GtqnKjExYMcVobFpbidPdzRVxPNcm3nS3otMJV7PfQcgG7QSzQbDdS8astWmQl,El caso de abuso sexual tuvo lugar en los meses de octubre y noviembre del año 2011.,Seguridad
22,https://www.facebook.com/elsoldesj/posts/pfbid0vgK6ef1nwaYTDzSHMyMDQZeGhSBJU7MfGCqexLnhfLPzxtAPDFx3uLCnHjbxPgZ2l,"""Mi papá es un héroe"" ❤❤❤",Enfermedades y siniestros
23,https://www.facebook.com/DiarioMovilOK/posts/pfbid034dBJch6ZEKeLubkiuWDZHSwXzRtcLpEt5nF9GGbLJpj3QX9UJK8StvqE5ZaVDy2dl,"VECINOS LINCHAR0N A UN LADRÓN 😡🥊
Un grupo de personas capturaron a un delincuente que había realizado dos robos en 20 minutos. Acto seguido, los ""justicieros"" le dieron una dura paliza. “Si no hay policía, hay que defenderse”, justificó el hecho un vecino. ¿QUÉ OPINÁS DEL ACCIONAR?",Seguridad
24,https://www.facebook.com/RadioDelSur101.1/posts/pfbid02jH3YJHCGERfNbnqu23ukWPzmsji68HkH47fgw4UYEwSBo9dMzZnDdzAhf54sRsNRl,"INVESTIGACIÓN🔴
Comenzaron a extraer el contenido del iPad de Natacha Jaitt",Seguridad
25,https://www.facebook.com/tiempodesanjuanweb/posts/pfbid02xwujTea4CJT2DKcpURRiipz7RCwkxqJxuoRLi8VnxKnW1nkEwhHc3KDtbJueca4Jl,"UÑAC REVELÓ QUE TUVO UNA ""CONVERSACIÓN EXTENSA"" CON SCIOLI POST PRESENTACIÓN DE FRENTES

El mandatario sanjuanino tuvo una charla telefónica con el precandidato a presidente. También habló de las elecciones en San Juan.",Política
